prd_id,prd_name,gr_prd_id,category_id,brand_id,price,cost_price,wholesale_price,stock_quantity,unit,image_url,weight
KH00072,Bóng cá hoa y 100g,BCA0001,CAT0001,BR0004,,,,,,,
KH00073,Bao tử chay âu lạc 130g,,CAT0001,BR0002,,,,,,,
KH00074,Hủ ky cọng khô 1,HUKY001,CAT0001,,,,,,,,
KH00075,Hủ ky lá khô loại đẹp,HUKY001,CAT0001,,,,,,,,
KH00076,Hủ ky cọng khô 100g,HUKY001,CAT0001,,,,,,,,
KH00077,Chân nấm khô 100g,CNAM001,CAT0001,,,,,,,,
KH00078,Gà lát chay xá VN,GLAT001,CAT0001,,,,,,,,
KH00079,Gà lát hoa y 100g,GLAT001,CAT0001,BR0004,,,,,,,
KH00080,Gà lát xá nhập khẩu,GLAT001,CAT0001,,,,,,,,
KH00081,Gà lát thanh dũng,GLAT001,CAT0001,BR0003,,,,,,,100g
KH00082,Sườn non 2 Âu Lạc,,CAT0001,BR0002,,,,,,,
KH00083,Ba rọi chay mai dũng,,CAT0001,BR0005,,,,,,,300g
KH00084,Nấm Mèo Khô,,CAT0001,,,,,,,,
KH00085,Chân nấm khô trung,CNAM001,CAT0001,,,,,,,,
KH00086,Chân nấm nhỏ khô loại 1,CNAM001,CAT0001,,,,,,,,
KH00087,Chà bông Âu Lạc 100g,CBONG01,CAT0001,BR0002,,,,,,,
KH00088,Nấm Hương Khô,,CAT0001,,,,,,,,
KH00089,Tai heo chay bảo an,,CAT0001,BR0007,,,,,,,
KH00090,Thịt nạc chay bảo an,,CAT0001,BR0007,,,,,,,
KH00091,Thịt thăn thanh dũng,,CAT0001,BR0003,,,,,,,100g
KH00092,Bò sợi thanh dũng,,CAT0001,BR0003,,,,,,,500g
KH00093,Bò cục chay xá nhập khẩu,,CAT0001,,,,,,,,
KH00094,Heo lát chay xá,,CAT0001,,,,,,,,
KH00095,Chân nấm lớn khô loại 1,CNAM001,CAT0001,,,,,,,,
KH00096,Chả cá thác lác chay,CHACA01,CAT0001,,,,,,,,
KH00097,Chả cá hàn quốc xá,CHACA01,CAT0001,,,,,,,,
HL00001,Cánh gà đặc biệt thanh dũng,CGA0001,CAT0002,BR0003,,,,,,,500g
HL00002,Cánh gà chay bảo an,CGA0001,CAT0002,BR0007,,,,,,,
HL00003,Cánh gà chay hương vị,CGA0001,CAT0002,,,,,,,,
HL00004,Cánh gà Âu Lạc,CGA0001,CAT0002,BR0002,,,,,,,
HL00005,Cánh gà chay 0tem,CGA0001,CAT0002,,,,,,,,
HL00006,Chả lụa chay đậu phộng hồng ngọc,CLUA001,CAT0002,,,,,,,,
HL00007,Chả lụa chay ớt xanh,CLUA001,CAT0002,,,,,,,,
HL00008,Chả lụa ớt xanh chay loại ngon,CLUA001,CAT0002,,,,,,,,
HL00009,Chả lụa lá thanh dũng,CLUA001,CAT0002,BR0003,,,,,,,
HL00010,Chả lụa thanh dũng,CLUA001,CAT0002,BR0003,,,,,,,
HL00011,Chả lụa chay không đậu nành hoa y,CLUA001,CAT0002,BR0004,,,,,,,
HL00012,Chả lụa rong biển thuận ý,CLUA001,CAT0002,,,,,,,,
HL00013,Chả lụa lá chuối Thuận Ý,CLUA001,CAT0002,,,,,,,,
HL00014,Chả lụa lá chuối ngon,CLUA001,CAT0002,,,,,,,,
HL00015,Chả lụa chay hồng ngọc,CLUA001,CAT0002,,,,,,,,
HL00016,Chả lụa hoa y,CLUA001,CAT0002,BR0004,,,,,,,
HL00017,Chả lụa thẻ,CLUA001,CAT0002,,,,,,,,
HL00018,Chả lụa duyên,CLUA001,CAT0002,,,,,,,,
HL00019,Chả lụa chay Gia Bảo,CLUA001,CAT0002,,,,,,,,
HL00020,Chả lụa chay áo nâu,CLUA001,CAT0002,,,,,,,,
HL00021,Chả lụa chay liên tâm,CLUA001,CAT0002,,,,,,,,
HL00022,Chả lụa chay quang lạc,CLUA001,CAT0002,,,,,,,,
HL00023,Chả lụa chay hải biên,CLUA001,CAT0002,BR0009,,,,,,,
HL00024,Chả lụa giấy ngon,CLUA001,CAT0002,,,,,,,,
HL00025,Chả lụa giấy bạc,CLUA001,CAT0002,,,,,,,,
HL00026,Chả lụa giấy phương loan,CLUA001,CAT0002,,,,,,,,
HL00027,chả lụa Thanh ái 500g,CLUA001,CAT0002,,,,,,,,
HL00028,chả lụa tuệ tâm 200g,CLUA001,CAT0002,,,,,,,,
HL00029,Giò sống cua chay,GIOS001,CAT0002,,,,,,,,
HL00030,Giò sống gà thanh dũng,GIOS001,CAT0002,BR0003,,,,,,,
HL00031,Giò sống thịt Thanh Dũng,GIOS001,CAT0002,BR0003,,,,,,,
HL00032,giò sống gà chay âu lạc,GIOS001,CAT0002,BR0002,,,,,,,
HL00033,Giò sống chay đặc biệt,GIOS001,CAT0002,,,,,,,,
HL00034,Chả quế Quang Lạc,CQUE001,CAT0002,,,,,,,,
HL00035,Chả quế hoa y,CQUE001,CAT0002,BR0004,,,,,,,
HL00036,chả quế ĐB nhất 4 CÂY,CQUE001,CAT0002,,,,,,,,
HL00037,Chả quế hải biên,CQUE001,CAT0002,BR0009,,,,,,,
HL00038,Chả quế thanh dũng,CQUE001,CAT0002,BR0003,,,,,,,
HL00039,Chả quế Liên Tâm,CQUE001,CAT0002,,,,,,,,
HL00040,Chả quế chiên bánh đặt biệt,CQUE002,CAT0002,,,,,,,,
HL00041,Chả quế chiên đặc biệt 4 cây,CQUE002,CAT0002,,,,,,,,
HL00042,Chả quế chiên 2 cây loại 2,CQUE002,CAT0002,,,,,,,,
HL00043,Chả quế chiên đặc biệt 2 cây,CQUE002,CAT0002,,,,,,,,
HL00044,Tôm viên hoa y,TOMV001,CAT0002,BR0004,,,,,,,
HL00045,Tôm viên âu lạc Kg,TOMV001,CAT0002,BR0002,,,,,,,
HL00046,Cá mặn chay từ học,CAMAN01,CAT0002,,,,,,,,
HL00047,Cá mặn 1 âu lạc Kg,CAMAN01,CAT0002,BR0002,,,,,,,
HL00048,Bò viên thuận ý,BOVIEN01,CAT0002,,,,,,,,
HL00049,Bò viên hương vị,BOVIEN01,CAT0002,,,,,,,,
HL00050,Bò viên la hán,BOVIEN01,CAT0002,,,,,,,,
HL00051,Bò viên chay Trí Huệ 1kg,BOVIEN01,CAT0002,,,,,,,,
HL00052,Bò viên Hồng Lạc,BOVIEN01,CAT0002,,,,,,,,
HL00053,Hotdog âu lạc,HOTDOG1,CAT0002,BR0002,,,,,,,
HL00054,Hotdog 500g TD,HOTDOG1,CAT0002,,,,,,,,
HL00055,Đùi gà sả chay 0tem,DUIGA02,CAT0002,,,,,,,,
HL00056,Đùi gà sả mai dũng,DUIGA02,CAT0002,BR0005,,,,,,,
HL00057,Đùi gà sả chay loại 1 không tem,DUIGA02,CAT0002,,,,,,,,
HL00058,Đùi gà hủ ky mai dũng,DUIGA03,CAT0002,BR0005,,,,,,,
HL00059,Đùi gà hủ ky,DUIGA03,CAT0002,,,,,,,,
HL00060,Đùi gà chay thịnh phát,DUIGA01,CAT0002,,,,,,,,
HL00061,Đùi gà hoa y,DUIGA01,CAT0002,BR0004,,,,,,,
HL00062,Đùi gà Hải Biên,DUIGA01,CAT0002,BR0009,,,,,,,
HL00063,Đùi gà thanh dũng 500g,DUIGA01,CAT0002,BR0003,,,,,,,
HL00064,Đùi gà đặc biệt thanh dũng,DUIGA01,CAT0002,BR0003,,,,,,,
HL00065,Đùi gà rán chay 10đùi,DUIGA01,CAT0002,,,,,,,,
HL00066,đùi gà 7 viên,DUIGA01,CAT0002,,,,,,,,
HL00067,gà miếng trí huệ 160g,TGA0001,CAT0002,,,,,,,,
HL00068,Gà miếng chiên âu lạc,TGA0001,CAT0002,BR0002,,,,,,,
HL00069,chả nấm 9 thủy 200g,CNAM002,CAT0002,,,,,,,,
HL00070,chả nấm 9 thủy 500g,CNAM002,CAT0002,,,,,,,,
HL00071,Chả nấm ngon lá chuối,CNAM002,CAT0002,,,,,,,,
HL00072,Chả nấm hoa y 500g,CNAM002,CAT0002,BR0004,,,,,,,
HL00073,Chả nấm thanh dũng,CNAM002,CAT0002,BR0003,,,,,,,
HL00074,Chả chân nấm - chả nấm đông cô,CNAM002,CAT0002,,,,,,,,
HL00075,"Chả nấm sữa kéo lụa 200g (diễm trang, hương nấm)",CNAM002,CAT0002,,,,,,,,
HL00076,"Chả nấm sữa kéo lụa 500g (diễm trang,hương nấm)",CNAM002,CAT0002,,,,,,,,
HL00077,chả nấm thanh ái,CNAM002,CAT0002,,,,,,,,
HL00078,Xúc xích lớn thanh dũng 500g,XXICH01,CAT0002,BR0003,,,,,,,
HL00079,Xúc xích rau củ,XXICH01,CAT0002,,,,,,,,
HL00080,Xúc xích ngũ sắc Thanh Dũng,XXICH01,CAT0002,BR0003,,,,,,,
HL00081,Xúc xích hữu khánh,XXICH01,CAT0002,,,,,,,,
HL00082,Xúc xích nướng đá,XXICH01,CAT0002,,,,,,,,
HL00083,Xúc xích nhỏ thanh dũng,XXICH01,CAT0002,BR0003,,,,,,,
HL00084,Xúc xích chay Đặc Biệt,XXICH01,CAT0002,,,,,,,,
HL00085,Xúc xích thịt chay Âu Lạc,XXICH01,CAT0002,BR0002,,,,,,,
HL00086,Xúc xích hạt đậu 500g thanh dũng,XXICH01,CAT0002,BR0003,,,,,,,
HL00087,Ham hương vị đặc biệt 500gr,HAM0001,CAT0002,,,,,,,,
HL00088,Ham hương vị thuần việt,HAM0001,CAT0002,,,,,,,,
HL00089,Ham thịt hương vị 500g,HAM0001,CAT0002,,,,,,,,
HL00090,Ham thịt trí huệ,HAM0001,CAT0002,,,,,,,,450g
HL00091,Ham thịt trí giác 500g,HAM0001,CAT0002,,,,,,,,
HL00092,Ham thịt needmeat,HAM0001,CAT0002,,,,,,,,500g
HL00093,Ham thịt âu lạc,HAM0001,CAT0002,BR0002,,,,,,,500g
HL00094,Ham thịt thanh dũng,HAM0001,CAT0002,,,,,,,,500g
HL00095,Ham gà needmeat,HAM0001,CAT0002,,,,,,,,500g
HL00096,Ham gà Hương Vị,HAM0001,CAT0002,,,,,,,,500g
HL00097,Ham gà thanh dũng 500g,HAM0001,CAT0002,BR0003,,,,,,,
HL00098,ham gà trí giác cũ 1kg,HAM0001,CAT0002,,,,,,,,
HL00099,Ham gà trí giác 500g,HAM0001,CAT0002,,,,,,,,
HL00100,Ham gà mini âu lạc,HAM0001,CAT0002,BR0002,,,,,,,
HL00101,Ham gà âu lạc 500g,HAM0001,CAT0002,BR0002,,,,,,,
HL00102,Thịt dê chay khang đức,TDE0001,CAT0002,,,,,,,,
HL00103,Thịt dê chay tem xanh,TDE0001,CAT0002,,,,,,,,
HL00104,Nạc dê hoa y 500g,TDE0001,CAT0002,BR0004,,,,,,,
HL00105,Thịt dê thanh dũng 500g,TDE0001,CAT0002,BR0003,,,,,,,
HL00106,Thịt dê la hán chay,TDE0001,CAT0002,,,,,,,,
HL00107,Dê Đại cát lớn,TDE0001,CAT0002,,,,,,,,
HL00108,Chả chén xá,CCHEN01,CAT0002,,,,,,,,
HL00109,Chả chén rau củ,CCHEN01,CAT0002,,,,,,,,
HL00110,Chả chén viên ngộ 700g,CCHEN01,CAT0002,,,,,,,,
HL00111,Chả chén thanh dũng,CCHEN01,CAT0002,BR0003,,,,,,,
HL00112,Chả chén hồng ngọc 500gr,CCHEN01,CAT0002,,,,,,,,
HL00113,Chả chén viên ngộ 800g đỏ,CCHEN01,CAT0002,,,,,,,,
HL00114,Chả chén tem đỏ,CCHEN01,CAT0002,,,,,,,,
HL00115,Nem nướng chay bảy viên,NEM0001,CAT0002,,,,,,,,
HL00116,Nem chua chay,NEM0001,CAT0002,,,,,,,,
HL00117,nêm nướng FOOD,NEM0001,CAT0002,,,,,,,,
HL00118,mực lạnh la hán,MUC0001,CAT0002,,,,,,,,
HL00119,Mực khoanh chay mai dũng,MUC0001,CAT0002,BR0005,,,,,,,
HL00120,Mực chay Âu Lạc 200g,MUC0001,CAT0002,BR0002,,,,,,,
HL00121,Chả bò chay hồng ngọc,CHABO01,CAT0002,,,,,,,,
HL00122,Chả bò chay áo nâu,CHABO01,CAT0002,,,,,,,,
HL00123,Chả bò thanh dũng 500g,CHABO01,CAT0002,BR0003,,,,,,,
HL00124,Cá viên thuận ý,CAVIEN01,CAT0002,,,,,,,,
HL00125,Cá viên la hán,CAVIEN01,CAT0002,,,,,,,,
HL00126,cá viên hồng lạc,CAVIEN01,CAT0002,,,,,,,,
HL00127,Cá viên Hoa Y,CAVIEN01,CAT0002,BR0004,,,,,,,
HL00128,cá viên Hương Vị 1kg,CAVIEN01,CAT0002,,,,,,,,
HL00129,cá viên 200g,CAVIEN01,CAT0002,,,,,,,,
HL00130,Tàu hủ ky cọng 200g mã lai trí huệ,HUKY001,CAT0002,,,,,,,,
HL00131,Tàu hủ ky miếng 300g mã lai trí huệ,HUKY001,CAT0002,,,,,,,,
HL00132,Hủ ky cọng khô lợi hào gia 500g,HUKY001,CAT0002,,,,,,,,
HL00133,Hủ ky xoắn mã lai 500g trí huệ,HUKY001,CAT0002,,,,,,,,
HL00134,Hủ lá ky tươi (xốp),HUKY001,CAT0002,,,,,,,,
HL00135,Hủ ky cọng tươi (Xốp),HUKY001,CAT0002,,,,,,,,
HL00136,Heo quay chay,THEO001,CAT0002,,,,,,,,
HL00137,Heo quay chay bồ đề,THEO001,CAT0002,,,,,,,,
HL00138,Heo quay chay nhỏ,THEO001,CAT0002,,,,,,,,
HL00139,Heo song hỷ Trí Huệ 410g,THEO001,CAT0002,,,,,,,,
HL00140,Heo song hỷ lớn Trí Huệ,THEO001,CAT0002,,,,,,,,
HL00141,Heo Sữa thanh dũng,THEO001,CAT0002,BR0003,,,,,,,
HL00142,Heo sữa âu lạc lớn,THEO001,CAT0002,BR0002,,,,,,,
HL00143,Heo sữa lớn trí huệ 1.1kg,THEO001,CAT0002,,,,,,,,
HL00144,Heo sữa nhỏ trí huệ 500g,THEO001,CAT0002,,,,,,,,
HL00145,Đậu hũ Hoa Y 500g,DAUHU01,CAT0002,BR0004,,,,,,,
HL00146,Đậu hủ nhỏ,DAUHU01,CAT0002,,,,,,,,
HL00147,Đậu hủ hộp,DAUHU01,CAT0002,,,,,,,,
HL00148,đậu hũ nhật hương vị 3kg,DAUHU01,CAT0002,,,,,,,,
HL00149,đậu hũ rau củ hương vị 1kg,DAUHU01,CAT0002,,,,,,,,
HL00150,Đậu hủ Nhật 250g,DAUHU01,CAT0002,,,,,,,,
HL00151,Chả cá chay áo nâu,CHACA01,CAT0002,,,,,,,,
HL00152,Chả cá chay liên tâm,CHACA01,CAT0002,,,,,,,,
HL00153,Chả cá chay thịnh phát,CHACA01,CAT0002,,,,,,,,
HL00154,Chả cá chay thiên nhiên thanh dũng 500g,CHACA01,CAT0002,BR0003,,,,,,,
HL00155,Chả cá vuông Thanh Dũng,CHACA01,CAT0002,BR0003,,,,,,,
HL00156,Chả cá thanh dũng,CHACA01,CAT0002,BR0003,,,,,,,
HL00157,Chả cá chay quang lạc,CHACA01,CAT0002,,,,,,,,
HL00158,Chả cá chay hải biên,CHACA01,CAT0002,BR0009,,,,,,,
HL00159,Chả giò rế tiên phong,CGIO001,CAT0002,,,,,,,,
HL00160,Chả giò xốp tiên phong,CGIO001,CAT0002,,,,,,,,
HL00161,Mọc viên rau củ,MOCV001,CAT0002,,,,,,,,
HL00162,Mọc viên nấm,MOCV001,CAT0002,,,,,,,,
HL00163,Cá thu chay hương vị,CATHU01,CAT0002,,,,,,,,
HL00164,Cá thu lát nhỏ thanh dũng,CATHU01,CAT0002,BR0003,,,,,,,
HL00165,Cá thu lát lớn thanh dũng,CATHU01,CAT0002,BR0003,,,,,,,
HL00166,Cá thu thiên nhiên thanh dũng,CATHU01,CAT0002,BR0003,,,,,,,
HL00167,Cá thu chay âu lạc,CATHU01,CAT0002,BR0002,,,,,,,
HL00168,Cá thu chay hải biên,CATHU01,CAT0002,BR0009,,,,,,,
HL00169,Cá thu tảo lát chay,CATHU01,CAT0002,,,,,,,,
HL00170,Chả tôm chay kẹp chì 200g,CTOM001,CAT0002,,,,,,,,
HL00171,Chả tôm chay thanh ái,CTOM001,CAT0002,,,,,,,,
HL00172,Chả tôm Thanh dũng 500g,CTOM001,CAT0002,BR0003,,,,,,,
HL00173,Chả tôm hủ ky (dồi hủ ky),CTOM001,CAT0002,,,,,,,,
HL00174,Cá kèo chay hải biên,CAKEO01,CAT0002,BR0009,,,,,,,
HL00175,Cá kèo thanh dũng 500g,CAKEO01,CAT0002,BR0003,,,,,,,
HL00176,Cá kèo thanh dũng,CAKEO01,CAT0002,BR0003,,,,,,,
HL00177,cá kèo tài thịnh,CAKEO01,CAT0002,,,,,,,,
HL00178,Tôm hùm cuộn thanh dũng,TTOM001,CAT0002,BR0003,,,,,,,
HL00179,Tôm hùm hủ ky,TTOM001,CAT0002,,,,,,,,
HL00180,Tôm sú âu lạc 250g,TTOM001,CAT0002,BR0002,,,,,,,
HL00181,Tôm trung chay âu lạc 200g,TTOM001,CAT0002,BR0002,,,,,,,
HL00182,Tôm trung chay âu lạc,TTOM001,CAT0002,BR0002,,,,,,,
HL00183,Tôm Hương Vị,TTOM001,CAT0002,,,,,,,,
HL00184,Tôm hương vị chay 500g,TTOM001,CAT0002,,,,,,,,
HL00185,Cá lóc thanh dũng,CALOC01,CAT0002,BR0003,,,,,,,
HL00186,Cá lóc chay Hoa Y 500g,CALOC01,CAT0002,BR0004,,,,,,,
HL00187,Mì căn lá chay,MICAN01,CAT0002,,,,,,,,
HL00188,Mì căn cục kg,MICAN01,CAT0002,,,,,,,,
HL00189,Mì căn ruột chay,MICAN01,CAT0002,,,,,,,,
HL00190,Viên thả lẩu âu lạc 200g,LAU0001,CAT0002,BR0002,,,,,,,
HL00191,Lẩu thập cẩm thanh dũng,LAU0001,CAT0002,BR0003,,,,,,,
HL00192,Lẩu hải sản thanh dũng,LAU0001,CAT0002,BR0003,,,,,,,
HL00193,Lẩu thái hương vị 650g,LAU0001,CAT0002,,,,,,,,
HL00194,lẩu chay 300,LAU0001,CAT0002,,,,,,,,
HL00195,con gà vàng 450g,TGA0001,CAT0002,,,,,,,,
HL00196,Gà nguyên con hoa y 450g,TGA0001,CAT0002,BR0004,,,,,,,
HL00197,Gà nửa con chay thanh dũng,TGA0001,CAT0002,BR0003,,,,,,,
HL00198,Nạc gà Hoa Y,TGA0001,CAT0002,BR0004,,,,,,,
HL00199,Nạc gà chay Hoa Y 500g,TGA0001,CAT0002,BR0004,,,,,,,
HL00200,Nạc gà Hoa Y 200g,TGA0001,CAT0002,BR0004,,,,,,,
HL00201,Gà lăn xù hoa y,TGA0001,CAT0002,BR0004,,,,,,,
HL00202,Chân gà Trí Huệ 200g,TGA0001,CAT0002,,,,,,,,
HL00203,Gà xé phay thanh dũng,TGA0001,CAT0002,BR0003,,,,,,,
HL00204,sườn lạnh trí huệ,SUOND01,CAT0002,,,,,,,,
HL00205,Sườn dừa thanh dũng,SUOND01,CAT0002,BR0003,,,,,,,
HL00206,Sườn dừa loại1,SUOND01,CAT0002,,,,,,,,
HL00207,Sườn dừa chay,SUOND01,CAT0002,,,,,,,,
HL00208,Sườn dừa hải biên,SUOND01,CAT0002,BR0009,,,,,,,
HL00209,Sườn sả ớt bảy viên,SUOND01,CAT0002,,,,,,,,
HL00210,Cá cuộn chay Hoa Y Kg,TCA0001,CAT0002,BR0004,,,,,,,
HL00211,Cá bạc má thanh dũng 500g,TCA0001,CAT0002,BR0003,,,,,,,
HL00212,Cá bạc má âu lạc 300g,TCA0001,CAT0002,BR0002,,,,,,,
HL00213,cá chép trí huệ,TCA0001,CAT0002,,,,,,,,
HL00214,Cá điêu hồng chay thanh dũng,TCA0001,CAT0002,BR0003,,,,,,,
HL00215,Cá hồi chay âu lạc 230g,TCA0001,CAT0002,BR0002,,,,,,,
HL00216,cá trê VLQ,TCA0001,CAT0002,,,,,,,,
HL00217,Càng cua chay âu lạc,CCUA001,CAT0002,BR0002,,,,,,,
HL00218,Cua sợi chay âu lạc,CCUA001,CAT0002,BR0002,,,,,,,
HL00219,Càng cua chay âu lạc 200g,CCUA001,CAT0002,BR0002,,,,,,,
HL00220,Cua sợi chay âu lạc 200g,CCUA001,CAT0002,BR0002,,,,,,,
HL00221,Chả hủ ky 200g,CHAKHAC1,CAT0002,,,,,,,,
HL00222,Chả rong biển duyên,CHAKHAC1,CAT0002,,,,,,,,
HL00223,Chả sữa thanh dũng,CHAKHAC1,CAT0002,BR0003,,,,,,,
HL00224,Chả cốm chay,CHAKHAC1,CAT0002,,,,,,,,
HL00225,Chả rong biển chiên chay,CHAKHAC1,CAT0002,,,,,,,,
HL00226,Chả chay uyên ương,CHAKHAC1,CAT0002,,,,,,,,
HL00227,Chả hấp chay 6cây,CHAKHAC1,CAT0002,,,,,,,,
HL00228,Chả rau củ thanh dũng,CHAKHAC1,CAT0002,BR0003,,,,,,,
HL00229,Chả cua chay phương loan,CHAKHAC1,CAT0002,,,,,,,,
HL00230,thịt kho hột vịt 4 trứng,TTRUNG1,CAT0002,,,,,,,,
HL00231,thịt kho hột vịt chay 2 trứng,TTRUNG1,CAT0002,,,,,,,,
HL00232,Trứng cút chay âu lạc 300g,TRUNG01,CAT0002,BR0002,,,,,,,
HL00233,Trứng ốp la chay âu lạc 220g,TRUNG01,CAT0002,BR0002,,,,,,,
HL00234,Trứng gà chay âu lạc 460g,TRUNG01,CAT0002,BR0002,,,,,,,
HL00235,Hột vịt muối chay âu lạc 460g,TRUNG01,CAT0002,BR0002,,,,,,,
HL00236,Thịt nướng âu lạc,THITN01,CAT0002,BR0002,,,,,,,
HL00237,Thịt nướng ngũ vị bảy viên,THITN01,CAT0002,,,,,,,,
HL00238,Tép thanh dũng,TEP0001,CAT0002,BR0003,,,,,,,
